time,position,theta
2.7,0.244096,-6.28172
2.71,0.243596,-6.28172
2.72,0.243096,-6.28172
2.73,0.242597,-6.28173
2.74,0.2421,-6.28173
2.75,0.241603,-6.28173
2.76,0.241108,-6.28173
2.77,0.240613,-6.28174
2.78,0.240119,-6.28174
2.79,0.239627,-6.28174
2.8,0.239135,-6.28174
2.81,0.238645,-6.28175
2.82,0.238155,-6.28175
2.83,0.237667,-6.28176
2.84,0.237179,-6.28176
2.85,0.236693,-6.28176
2.86,0.236207,-6.28176
2.87,0.235723,-6.28177
2.88,0.235239,-6.28177
2.89,0.234757,-6.28177
2.9,0.234275,-6.28177
2.91,0.233794,-6.28178
2.92,0.233315,-6.28178
2.93,0.232836,-6.28178
2.94,0.232359,-6.28179
2.95,0.231882,-6.28179
2.96,0.231406,-6.28179
2.97,0.230932,-6.28179
2.98,0.230458,-6.2818
2.99,0.229985,-6.2818
3,0.229513,-6.2818
3.01,0.229043,-6.28181
3.02,0.228573,-6.28181
3.03,0.228104,-6.28181
3.04,0.227636,-6.28181
3.05,0.227169,-6.28182
3.06,0.226703,-6.28182
3.07,0.226238,-6.28182
3.08,0.225774,-6.28183
3.09,0.225311,-6.28183
3.1,0.224849,-6.28183
3.11,0.224387,-6.28183
3.12,0.223927,-6.28184
3.13,0.223468,-6.28184
3.14,0.223009,-6.28184
3.15,0.222552,-6.28185
3.16,0.222095,-6.28185
3.17,0.22164,-6.28185
3.18,0.221185,-6.28185
3.19,0.220731,-6.28186
3.2,0.220279,-6.28186
3.21,0.219827,-6.28186
3.22,0.219376,-6.28186
3.23,0.218926,-6.28187
3.24,0.218477,-6.28187
3.25,0.218029,-6.28187
3.26,0.217581,-6.28187
3.27,0.217135,-6.28188
3.28,0.21669,-6.28188
3.29,0.216245,-6.28188
3.3,0.215802,-6.28189
3.31,0.215359,-6.28189
3.32,0.214917,-6.28189
3.33,0.214476,-6.2819
3.34,0.214036,-6.2819
3.35,0.213597,-6.2819
3.36,0.213159,-6.2819
3.37,0.212722,-6.2819
3.38,0.212286,-6.28191
3.39,0.21185,-6.28191
3.4,0.211416,-6.28191
3.41,0.210982,-6.28191
3.42,0.210549,-6.28192
3.43,0.210117,-6.28192
3.44,0.209686,-6.28192
3.45,0.209256,-6.28192
3.46,0.208827,-6.28193
3.47,0.208398,-6.28193
3.48,0.207971,-6.28193
3.49,0.207544,-6.28193
3.5,0.207119,-6.28194
3.51,0.206694,-6.28194
3.52,0.20627,-6.28194
3.53,0.205847,-6.28195
3.54,0.205424,-6.28195
3.55,0.205003,-6.28195
3.56,0.204582,-6.28195
3.57,0.204163,-6.28195
3.58,0.203744,-6.28196
3.59,0.203326,-6.28196
3.6,0.202909,-6.28196
3.61,0.202493,-6.28197
3.62,0.202077,-6.28197
3.63,0.201663,-6.28197
3.64,0.201249,-6.28197
3.65,0.200836,-6.28197
3.66,0.200424,-6.28198
3.67,0.200013,-6.28198
3.68,0.199603,-6.28198
3.69,0.199194,-6.28199
3.7,0.198785,-6.28199
3.71,0.198377,-6.28199
3.72,0.19797,-6.28199
3.73,0.197564,-6.28199
3.74,0.197159,-6.282
3.75,0.196754,-6.282
3.76,0.196351,-6.282
3.77,0.195948,-6.282
3.78,0.195546,-6.28201
3.79,0.195145,-6.28201
3.8,0.194745,-6.28201
3.81,0.194345,-6.28202
3.82,0.193947,-6.28202
3.83,0.193549,-6.28202
3.84,0.193152,-6.28202
3.85,0.192755,-6.28202
3.86,0.19236,-6.28203
3.87,0.191966,-6.28203
3.88,0.191572,-6.28203
3.89,0.191179,-6.28203
3.9,0.190787,-6.28204
3.91,0.190395,-6.28204
3.92,0.190005,-6.28204
3.93,0.189615,-6.28204
3.94,0.189226,-6.28205
3.95,0.188838,-6.28205
3.96,0.18845,-6.28205
3.97,0.188064,-6.28205
3.98,0.187678,-6.28205
3.99,0.187293,-6.28206
4,0.186909,-6.28206
4.01,0.186526,-6.28206
4.02,0.186143,-6.28206
4.03,0.185761,-6.28207
4.04,0.18538,-6.28207
4.05,0.185,-6.28207
4.06,0.18462,-6.28207
4.07,0.184242,-6.28207
4.08,0.183864,-6.28208
4.09,0.183486,-6.28208
4.1,0.18311,-6.28208
4.11,0.182734,-6.28208
4.12,0.18236,-6.28209
4.13,0.181986,-6.28209
4.14,0.181612,-6.28209
4.15,0.18124,-6.28209
4.16,0.180868,-6.2821
4.17,0.180497,-6.2821
4.18,0.180127,-6.2821
4.19,0.179757,-6.2821
4.2,0.179388,-6.28211
4.21,0.17902,-6.28211
4.22,0.178653,-6.28211
4.23,0.178287,-6.28211
4.24,0.177921,-6.28211
4.25,0.177556,-6.28211
4.26,0.177192,-6.28212
4.27,0.176828,-6.28212
4.28,0.176466,-6.28212
4.29,0.176104,-6.28212
4.3,0.175742,-6.28213
4.31,0.175382,-6.28213
4.32,0.175022,-6.28213
4.33,0.174663,-6.28213
4.34,0.174305,-6.28214
4.35,0.173947,-6.28214
4.36,0.173591,-6.28214
4.37001,0.173234,-6.28214
4.38001,0.172879,-6.28215
4.39001,0.172524,-6.28214
4.40001,0.172171,-6.28215
4.41001,0.171817,-6.28215
4.42001,0.171465,-6.28215
4.43001,0.171113,-6.28215
4.44001,0.170762,-6.28216
4.45001,0.170412,-6.28216
4.46001,0.170062,-6.28216
4.47001,0.169714,-6.28216
4.48001,0.169365,-6.28216
4.49001,0.169018,-6.28217
4.50001,0.168671,-6.28217
4.51001,0.168325,-6.28217
4.52001,0.16798,-6.28217
4.53001,0.167635,-6.28218
4.54001,0.167292,-6.28218
4.55001,0.166948,-6.28218
4.56001,0.166606,-6.28218
4.57001,0.166264,-6.28218
4.58001,0.165923,-6.28219
4.59001,0.165583,-6.28219
4.60001,0.165243,-6.28219
4.61001,0.164904,-6.28219
4.62001,0.164566,-6.28219
4.63001,0.164228,-6.2822
4.64001,0.163891,-6.2822
4.65001,0.163555,-6.2822
4.66001,0.16322,-6.2822
4.67001,0.162885,-6.2822
4.68001,0.162551,-6.28221
4.69001,0.162217,-6.28221
4.70001,0.161885,-6.28221
4.71001,0.161553,-6.28221
4.72001,0.161221,-6.28222
4.73001,0.16089,-6.28222
4.74001,0.16056,-6.28222
4.75001,0.160231,-6.28222
4.76001,0.159902,-6.28222
4.77001,0.159574,-6.28223
4.78001,0.159247,-6.28223
4.79001,0.15892,-6.28223
4.80001,0.158594,-6.28223
4.81002,0.158269,-6.28223
4.82002,0.157944,-6.28224
4.83002,0.15762,-6.28223
4.84002,0.157297,-6.28224
4.85002,0.156974,-6.28224
4.86002,0.156652,-6.28224
4.87002,0.156331,-6.28224
4.88002,0.15601,-6.28225
4.89002,0.15569,-6.28225
4.90002,0.155371,-6.28225
4.91002,0.155052,-6.28225
4.92002,0.154734,-6.28225
4.93002,0.154417,-6.28225
4.94002,0.1541,-6.28226
4.95002,0.153784,-6.28226
4.96002,0.153469,-6.28226
4.97002,0.153154,-6.28226
4.98002,0.15284,-6.28226
4.99002,0.152526,-6.28227
5.00002,0.152213,-6.28227
5.01002,0.151901,-6.28227
5.02002,0.151589,-6.28227
5.03002,0.151278,-6.28227
5.04002,0.150968,-6.28228
5.05002,0.150658,-6.28228
5.06002,0.150349,-6.28228
5.07002,0.150041,-6.28228
5.08002,0.149733,-6.28228
5.09002,0.149426,-6.28229
5.10002,0.149119,-6.28229
5.11002,0.148814,-6.28229
5.12002,0.148508,-6.28229
5.13002,0.148204,-6.28229
5.14002,0.1479,-6.28229
5.15002,0.147596,-6.2823
5.16002,0.147294,-6.2823
5.17002,0.146991,-6.2823
5.18002,0.14669,-6.2823
5.19002,0.146389,-6.2823
5.20002,0.146089,-6.2823
5.21002,0.145789,-6.28231
5.22002,0.14549,-6.28231
5.23002,0.145192,-6.28231
5.24003,0.144894,-6.28231
